name,gender,wikidata,type
"Rue Celestin Demblon",,,way
"Rue César Franck",,,way
"Rue César de Paepe",,,way
"Rue Chaffette",,,way
"Rue Chafnay",,,way
"Rue Chapeauville",,,way
"Rue Chapelle-des-Clercs",,,way
"Rue Charlemagne",,,way
"Rue Charles Bartholomez",,,way
"Rue Charles Gothier",,,way
"Rue Charles Horion",,,way
"Rue Charles Lejeune",,,way
"Rue Charles Magnette",,,way
"Rue Charles Morren",,,way
"Rue Charles Steenebruggen",,,way
"Rue Charles-Davin",,,way
"Rue Chaudthier",,,way
"Rue Chauve-Souris",,,way
"Rue Chéravoie",,,way
"Rue Chéri",,,way
"Rue Chevaufosse",,,way
"Rue Chevy",,,way
"Rue Chiff d'Or",,,way
"Rue Claude Strebelle",,,way
"Rue Coclers",,,way
"Rue Coclisart",,,way
"Rue Collée",,,way
"Rue Colompré",,,way
"Rue Comhaire",,,way
"Rue Commandant Duchesne",,,way
"Rue Commandant Naessens",,,way
"Rue Constantin Le Paige",,,way
"Rue Coqraimont",,,way
"Rue Corémolin",,,way
"Rue Côte d'Or",,,way
"Rue Counotte",,,way
"Rue Coupée",,,way
"Rue Court-Petit",,,way
"Rue Courte",,,way
"Rue Courtois",,,way
"Rue Crahay",,,way
"Rue Crève-Cœur",,,way
"Rue Croix Visé",,,way
"Rue Curtius",,,way
"Rue Darchis",,,way
"Rue Dartois",,,way
"Rue Dassonville",,,way
"Rue Daussoigne-Méhul",,,way
"Rue David",,,way
"Rue De La Distillerie",,,way
"Rue Defrance",,,way
"Rue Defrêcheux",,,way
"Rue Dehin",,,way
"Rue Delfosse",,,way
"Rue Delhaise",,,way
"Rue Delsemme",,,way
"Rue Demolin",,,way
"Rue Denis Lecocq",,,way
"Rue Denis Sotiau",,,way
"Rue Derrière Coronmeuse",,,way
"Rue Derrière le Chateau",,,way
"Rue Descardre",,,way
"Rue Désiré - Simonis",,,way
"Rue Dessus l'Église",,,way
"Rue Destriveaux",,,way
"Rue Devant l'Aîte",,,way
"Rue Devant les Écoliers",,,way
"Rue Deveux",,,way
"Rue Dieudonné Defrance",,,way
"Rue Dieudonné Salme",,,way
"Rue Docteur Bordet",,,way
"Rue Docteur Rasquinet",,,way
"Rue Donceel",,,way
"Rue Dony",,,way
"Rue Dos-Fanchon",,,way
"Rue Dossin",,,way
"Rue Dothée",,,way
"Rue Douffet",,,way
"Rue Du Castel",,,way
"Rue Duvivier",,,way
"Rue Edmond Jacquemotte",,,way
"Rue Édouard Marcotty",,,way
"Rue Édouard Remouchamps",,,way
"Rue Édouard Wacken",,,way
"Rue Élise Grandprez",,,way
"Rue Émile Collard",,,way
"Rue Émile Gérard",,,way
"Rue Emile Vandervelde",,,way
"Rue Emile Vandervelde - Rue Sainte-Marguerite",,,way
"Rue Émile Verhaeren",,,way
"Rue Émile Zola",,,way
"Rue En-Glain",,,way
"Rue Éracle",,,way
"Rue Ernest Malvoz",,,way
"Rue Ernest Marneffe",,,way
"Rue Ernest Solvay",,,way
"Rue Ernest de Bavière",,,way
"Rue Etienne Soubre",,,way
"Rue Eugène Houdret",,,way
"Rue Eugène Lambinon",,,way
"Rue Eugène Renette",,,way
"Rue Eugène Simonis",,,way
"Rue Eugène Vandenhoff",,,way
"Rue Eugène Ysaye",,,way
"Rue Fabry",,,way
"Rue Faleye",,,way
"Rue Fassin",,,way
"Rue Fauville",,,way
"Rue Félix Chaumont",,,way
"Rue Felix Paulsen",,,way
"Rue Félix Vandersnoeck",,,way
"Rue Ferdinand Borny",,,way
"Rue Ferdinand Desoer",,,way
"Rue Ferdinand Nicolay",,,way
"Rue Ferdinand-Hénaux",,,way
"Rue Fernand Dehousse",,,way
"Rue Fernand Heuveneers",,,way
"Rue Fernand Tilkin",,,way
"Rue Firquet",,,way
"Rue Fisen",,,way
"Rue Floréal",,,way
"Rue Florimont",,,way
"Rue Foidart",,,way
"Rue Fond Crahay",,,way
"Rue Fond Pirette",,,way
"Rue Fond Saint-Servais",,,way
"Rue Fond des Tawes",,,way
"Rue Fond du Bois",,,way
"Rue Fond du Chat",,,way
"Rue Fond du Moulin",,,way
"Rue Fond-de-Coy",,,way
"Rue Fondrivaux",,,way
"Rue Fontenale",,,way
"Rue Forgeur",,,way
"Rue Fortemps de Loneux",,,way
"Rue Fosse Miesny",,,way
"Rue Fosse-aux-Raines",,,way
"Rue Foxhalle",,,way
"Rue Fraîche",,,relation
"Rue Fraischamps",,,way
"Rue François Bovesse",,,way
"Rue François Lefèbvre",,,way
"Rue François Paquay",,,way
"Rue François Paul",,,way
"Rue François Struvay",,,way
"Rue Françoise Bernheim",,,way
"Rue Frédéric Nyst",,,way
"Rue Frère Michel",,,way
"Rue Frésart",,,way
"Rue Fusch",,,way
"Rue Gaillard Cheval",,,way
"Rue Galilée",,,way
"Rue Garde-Dieu",,,way
"Rue Gaston Laboulle",,,way
"Rue Gaston-Grégoire",,,way
"Rue Gaucet",,,way
"Rue Général Jacques de Dixmude",,,way
"Rue Général de Gaulle",,,way
"Rue Genot",,,way
"Rue George Rem",,,way
"Rue Georges Antoine",,,way
"Rue Georges Clemenceau",,,way
"Rue Georges Simenon",,,relation
"Rue Georges Thone",,,way
"Rue Gérardrie",,,way
"Rue Germinal",,,way
"Rue Gilbert Bisqueret",,,way
"Rue Gilleaux",,,way
"Rue Gilles Demarteau",,,way
"Rue Gilles Galler",,,way
"Rue Gilon",,,way
"Rue Git-le-Coq",,,way
"Rue Godefroid Halleux",,,way
"Rue Goswin",,,way
"Rue Gramme",,,way
"Rue Grand d'Jan",,,way
"Rue Grand-Bêche",,,way
"Rue Grande Tour",,,way
"Rue Grandgagnage",,,way
"Rue Gravioule",,,way
"Rue Grégoire",,,way
"Rue Grétry",,,way
"Rue Grignette",,,way
"Rue Guillaume Marie",,,way
"Rue Gustave Thiriart",,,way
"Rue Hamal",,,way
"Rue Haroun Tazieff",,,way
"Rue Haut Rieux",,,way
"Rue Haut des Tawes",,,way
"Rue Haut-Douy",,,way
"Rue Haute",,,way
"Rue Haute Sauvenière",,,way
"Rue Haute Voie",,,way
"Rue Haute-Wez",,,way
"Rue Hauzeur",,,way
"Rue Hazinelle",,,way
"Rue Hector Chainaye",,,way
"Rue Hector Denis",,,way
"Rue Heid de Maël",,,way
"Rue Hemricourt",,,way
"Rue Henkart",,,way
"Rue Hennequin",,,way
"Rue Hennet",,,way
"Rue Henri Alexandre",,,way
